	y1	r1	
1b.FeatGender	         0	         0	
2.FeatGender	 .00700165	 .01716683	
1b.FeatEd	         0	         0	
2.FeatEd	 .00859598	  .0325975	
3.FeatEd	 .02319392	  .0328288	
4.FeatEd	 .12895188	 .03301137	
5.FeatEd	  .1207271	  .0367719	
6.FeatEd	 .19799747	 .03823723	
7.FeatEd	 .15385263	 .03660638	
1b.FeatJob	         0	         0	
2.FeatJob	-.02939842	  .0348431	
3.FeatJob	 .02681218	 .04158198	
4.FeatJob	 .04522137	 .03496201	
5.FeatJob	 .17001412	 .06950087	
6.FeatJob	 .03829579	 .03846417	
7.FeatJob	 .08651414	 .03423805	
8.FeatJob	 .06557369	 .06459546	
9.FeatJob	 .10181575	 .03437756	
10.FeatJob	 .15294739	 .06502083	
11.FeatJob	 .14580902	 .05994148	
1b.FeatLang	         0	         0	
2.FeatLang	-.01838655	 .02524527	
3.FeatLang	-.14093311	 .02530091	
4.FeatLang	-.16847297	 .02691704	
1.FeatCountry	 .09198374	 .04140039	
2.FeatCountry	 .10126077	 .04669986	
3.FeatCountry	 .05557687	 .04231075	
4.FeatCountry	 .03139325	 .04300776	
5.FeatCountry	  .0578312	 .03998611	
6b.FeatCountry	         0	         0	
7.FeatCountry	 .03046648	 .04253913	
8.FeatCountry	 .01035751	 .04459873	
9.FeatCountry	-.02142594	 .04687619	
10.FeatCountry	-.01971051	 .04337905	
1b.FeatReason	         0	         0	
2.FeatReason	-.07111106	 .02191753	
3.FeatReason	 .00284323	 .03342047	
1b.FeatExp	         0	         0	
2.FeatExp	 .05218053	 .02552407	
3.FeatExp	 .13000118	 .02602177	
4.FeatExp	 .14065289	  .0247564	
1.FeatPlans	 .09326359	 .02462892	
2.FeatPlans	 .01785645	 .02440649	
3b.FeatPlans	         0	         0	
4.FeatPlans	-.16793183	 .02677625	
1b.FeatTrips	         0	         0	
2.FeatTrips	 .05085925	 .02678674	
3.FeatTrips	 .05507447	  .0282414	
4.FeatTrips	  .0883504	 .02793336	
5.FeatTrips	-.07724775	 .02867426	
