	y1	r1	
1b.atmilitary	         0	         0	
2.atmilitary	 .08482446	 .01815659	
1b.atreligion	         0	         0	
2.atreligion	 -.0357921	 .02777286	
3.atreligion	  -.030422	 .02920786	
4.atreligion	-.01287421	 .03211188	
5.atreligion	-.11931249	 .03181111	
6.atreligion	-.13869082	 .03112306	
1b.ated	         0	         0	
2.ated	 .14232033	 .02918029	
3.ated	 .15189886	 .03034796	
4.ated	 .18870684	 .02798882	
5.ated	 .18068691	 .02829909	
6.ated	 .28059125	 .02936013	
1b.atprof	         0	         0	
2.atprof	-.02270217	  .0335904	
3.atprof	-.02667696	 .03079062	
4.atprof	-.03935469	 .02944401	
5.atprof	-.08968624	 .03233978	
6.atprof	-.23853073	 .03196721	
1b.atmale	         0	         0	
2.atmale	 .00173138	 .01808947	
1b.atinc	         0	         0	
2.atinc	 .02423004	 .02964348	
3.atinc	 .06520384	 .02795374	
4.atinc	 .04812762	 .03074956	
5.atinc	 .07822465	 .03026822	
6.atinc	 .01186579	 .03005444	
1b.atrace	         0	         0	
2.atrace	 .03825528	 .03057901	
3.atrace	 .03534244	 .02923127	
4.atrace	-.01562035	    .02966	
5.atrace	  .0073263	 .02886127	
6.atrace	 .04230329	  .0295508	
1b.atage	         0	         0	
2.atage	  .0181917	 .03071206	
3.atage	 .03558775	  .0313454	
4.atage	 .00039886	 .03004941	
5.atage	-.07641543	 .03090591	
6.atage	-.14980779	 .03052769	
