	y1	r1	
1b.atmilitary	         0	         0	
2.atmilitary	 .02684751	 .00836894	
1b.atreligion	         0	         0	
2.atreligion	-.00495034	 .01393657	
3.atreligion	-.00592134	 .01538796	
4.atreligion	-.00896978	 .01408819	
5.atreligion	-.04010831	 .01713018	
6.atreligion	-.06204818	 .01510002	
1b.ated	         0	         0	
2.ated	  .0689784	 .01588821	
3.ated	 .08674939	 .01620522	
4.ated	  .0956249	 .01444622	
5.ated	 .10228286	 .01548935	
6.ated	 .13100466	   .015405	
1b.atprof	         0	         0	
2.atprof	-.00694079	 .01404527	
3.atprof	-.00927498	 .01281563	
4.atprof	-.00986923	 .01456596	
5.atprof	-.03398014	 .01567296	
6.atprof	 -.0842014	 .01518266	
1b.atmale	         0	         0	
2.atmale	 .00816078	 .00834504	
1b.atinc	         0	         0	
2.atinc	-.00413612	 .01568264	
3.atinc	 .01345717	 .01349152	
4.atinc	-.00337667	 .01467761	
5.atinc	-.00122524	 .01571416	
6.atinc	-.03142464	 .01532661	
1b.atrace	         0	         0	
2.atrace	-.00388905	 .01520487	
3.atrace	-.00401682	 .01512611	
4.atrace	-.01192282	 .01443342	
5.atrace	 -.0138215	 .01491492	
6.atrace	-.01805902	 .01539242	
1b.atage	         0	         0	
2.atage	-.00480575	 .01520581	
3.atage	-.00846366	 .01505925	
4.atage	-.01490732	 .01561931	
5.atage	-.02250463	  .0155311	
6.atage	-.06744801	 .01462422	
