	y1	r1	
1b.FeatGender	         0	         0	
2.FeatGender	-.02898947	 .01235769	
1b.FeatEd	         0	         0	
2.FeatEd	 .06223328	 .02363888	
3.FeatEd	 .09549224	  .0229684	
4.FeatEd	 .14133368	 .02277706	
5.FeatEd	 .17845636	 .02576355	
6.FeatEd	 .19386129	 .02698436	
7.FeatEd	 .22261055	 .02554611	
1b.FeatJob	         0	         0	
2.FeatJob	-.05550128	 .02504842	
3.FeatJob	-.02099969	 .02617466	
4.FeatJob	-.02713392	 .02664219	
5.FeatJob	 .00647506	 .04635439	
6.FeatJob	-.00661036	 .02476851	
7.FeatJob	 .05215225	 .02614048	
8.FeatJob	 .01867035	 .04450093	
9.FeatJob	 .05139266	 .02529267	
10.FeatJob	 .08765407	 .04451577	
11.FeatJob	 .04220869	 .04429565	
1b.FeatLang	         0	         0	
2.FeatLang	-.06937378	 .01735059	
3.FeatLang	-.15378874	 .01734529	
4.FeatLang	-.18626703	 .01763158	
1.FeatCountry	 .04837607	 .02519822	
2.FeatCountry	  .0305331	 .02737259	
3.FeatCountry	-.04892504	 .02739155	
4.FeatCountry	-.00241464	 .02619795	
5.FeatCountry	 .02493913	 .02718848	
6b.FeatCountry	         0	         0	
7.FeatCountry	  -.052922	 .02961255	
8.FeatCountry	-.06676415	 .02936049	
9.FeatCountry	-.09653347	 .02838373	
10.FeatCountry	-.11698488	 .03017857	
1b.FeatReason	         0	         0	
2.FeatReason	 -.0302096	 .01422394	
3.FeatReason	 .03676966	 .02693833	
1b.FeatExp	         0	         0	
2.FeatExp	 .05651975	 .01723775	
3.FeatExp	 .10336392	 .01792496	
4.FeatExp	 .11751675	 .01842133	
1.FeatPlans	 .15731365	 .01745387	
2.FeatPlans	 .04334781	 .01748947	
3b.FeatPlans	         0	         0	
4.FeatPlans	-.11945653	 .01813269	
1b.FeatTrips	         0	         0	
2.FeatTrips	  .0497959	  .0197682	
3.FeatTrips	 .06487961	 .02059028	
4.FeatTrips	 .06421999	 .01953012	
5.FeatTrips	 -.1370658	  .0203154	
