	y1	r1	
1b.FeatGender	         0	         0	
2.FeatGender	-.02602316	  .0080404	
1b.FeatEd	         0	         0	
2.FeatEd	 .03306851	 .01501023	
3.FeatEd	 .05774401	 .01501328	
4.FeatEd	 .11948348	 .01515403	
5.FeatEd	 .14882053	 .01736853	
6.FeatEd	 .18007699	 .01756055	
7.FeatEd	 .17606803	 .01674908	
1b.FeatJob	         0	         0	
2.FeatJob	-.00681471	 .01691498	
3.FeatJob	  .0148861	 .01686596	
4.FeatJob	 .01317137	 .01694032	
5.FeatJob	 .06393468	 .02977275	
6.FeatJob	 .03782447	 .01687734	
7.FeatJob	 .07328762	 .01681416	
8.FeatJob	 .07910121	 .02860722	
9.FeatJob	 .08473682	 .01645077	
10.FeatJob	  .1276366	 .02862559	
11.FeatJob	 .15730243	 .02879994	
1b.FeatLang	         0	         0	
2.FeatLang	-.05631972	 .01135248	
3.FeatLang	-.12635953	 .01140997	
4.FeatLang	-.15974092	 .01162961	
1.FeatCountry	 .04716063	 .01667147	
2.FeatCountry	   .026912	 .01738232	
3.FeatCountry	 .01047418	 .01757918	
4.FeatCountry	 .03402577	 .01748223	
5.FeatCountry	 .03257982	 .01765399	
6b.FeatCountry	         0	         0	
7.FeatCountry	-.01125431	 .01955118	
8.FeatCountry	-.05181158	 .01995873	
9.FeatCountry	-.05309732	 .01940885	
10.FeatCountry	 -.1126608	 .02036282	
1b.FeatReason	         0	         0	
2.FeatReason	-.03529347	 .00968608	
3.FeatReason	 .05563445	 .01690842	
1b.FeatExp	         0	         0	
2.FeatExp	 .06529037	 .01105953	
3.FeatExp	 .10781787	 .01160347	
4.FeatExp	 .11314826	  .0113951	
1.FeatPlans	 .12492994	 .01172368	
2.FeatPlans	 .02521729	  .0118114	
3b.FeatPlans	         0	         0	
4.FeatPlans	-.15730108	 .01178533	
1b.FeatTrips	         0	         0	
2.FeatTrips	 .05595495	  .0125067	
3.FeatTrips	 .05474842	  .0129577	
4.FeatTrips	 .07531789	 .01264774	
5.FeatTrips	-.11008427	 .01307227	
