	pe	se	lb	up	position	
r1	-.16318873	 .01220501	-.18759875	 -.1387787	        -1	
r1	-.14357112	 .03218303	-.20793717	-.07920506	         1	
r1	-.10375437	 .03539376	 -.1745419	-.03296684	         2	
r1	-.19796092	 .03437882	-.26671857	-.12920327	         3	
r1	-.21936681	 .04409128	-.30754938	-.13118425	         4	
r1	-.17558187	 .03783241	-.25124669	-.09991705	         5	
r1	-.10940083	 .03755538	-.18451158	-.03429008	         6	
r1	-.18267179	 .03702205	-.25671588	-.10862769	         7	
r1	-.23001508	 .03552382	-.30106272	-.15896744	         8	
r1	-.13856491	 .03497254	-.20850999	-.06861983	         9	
