	y1	r1	
1b.FeatGender	         0	         0	
2.FeatGender	-.02521335	 .01514558	
1b.FeatEd	         0	         0	
2.FeatEd	 .05673748	 .02846146	
3.FeatEd	 .05063593	 .02745967	
4.FeatEd	 .09615121	 .02865344	
5.FeatEd	 .12527863	 .03312642	
6.FeatEd	 .09044333	 .03313474	
7.FeatEd	 .14060224	 .03301291	
1b.FeatJob	         0	         0	
2.FeatJob	  .0053675	 .03128493	
3.FeatJob	 .05553188	  .0317262	
4.FeatJob	 .03259301	 .03232155	
5.FeatJob	 .11856763	 .05709039	
6.FeatJob	 .04718994	 .03129678	
7.FeatJob	 .08344109	 .03297643	
8.FeatJob	 .15744617	 .05486919	
9.FeatJob	 .09304992	  .0316448	
10.FeatJob	 .20303008	 .05585447	
11.FeatJob	 .22318834	  .0566586	
1b.FeatLang	         0	         0	
2.FeatLang	-.07507515	 .02292454	
3.FeatLang	-.12674625	 .02197796	
4.FeatLang	-.14080126	 .02228642	
1.FeatCountry	-.01569052	 .03351926	
2.FeatCountry	-.02975321	 .03398723	
3.FeatCountry	-.01922887	 .03516233	
4.FeatCountry	 .00355685	 .03439499	
5.FeatCountry	 .03758532	 .03417179	
6b.FeatCountry	         0	         0	
7.FeatCountry	-.02579242	  .0379455	
8.FeatCountry	-.10663803	 .03607748	
9.FeatCountry	-.11754489	 .03605398	
10.FeatCountry	-.09841623	 .03638926	
1b.FeatReason	         0	         0	
2.FeatReason	-.01453583	 .01760704	
3.FeatReason	 .09517505	 .03073974	
1b.FeatExp	         0	         0	
2.FeatExp	 .05251208	 .02200178	
3.FeatExp	 .06634277	 .02207907	
4.FeatExp	 .08134051	  .0221524	
1b.FeatTrips	         0	         0	
2.FeatTrips	 .08141803	 .02500772	
3.FeatTrips	 .08280777	 .02517971	
4.FeatTrips	 .08933683	 .02446776	
5.FeatTrips	-.06614878	 .02331407	
