	pe	se	lb	up	position	
r1	-.11301071	 .01379702	-.14060475	-.08541666	        -1	
r1	-.13569274	 .03838573	-.21246419	-.05892129	         1	
r1	-.06775847	 .04010799	-.14797446	 .01245751	         2	
r1	-.18128331	  .0481189	-.27752111	 -.0850455	         3	
r1	-.11158996	 .04025246	-.19209488	-.03108504	         4	
r1	-.11298701	 .03981677	-.19262054	-.03335348	         5	
r1	-.15602564	 .04122386	-.23847336	-.07357793	         6	
r1	-.11909805	 .04702305	-.21314415	-.02505195	         7	
r1	-.05539881	 .04118787	-.13777455	 .02697693	         8	
r1	-.10128894	 .03813522	-.17755938	-.02501849	         9	
