	y1	r1	
1b.FeatGender	         0	         0	
2.FeatGender	-.00799536	 .01120304	
1b.FeatEd	         0	         0	
2.FeatEd	 .04594927	 .02128797	
3.FeatEd	 .03072956	 .02133607	
4.FeatEd	 .10604841	 .02111179	
5.FeatEd	 .15367056	 .02418351	
6.FeatEd	  .1861837	 .02460137	
7.FeatEd	  .1591303	 .02375575	
1b.FeatJob	         0	         0	
2.FeatJob	 .00991605	 .02360665	
3.FeatJob	 .01160126	  .0237445	
4.FeatJob	 .03404587	 .02337312	
5.FeatJob	 .08991055	 .04120246	
6.FeatJob	 .04518158	 .02412692	
7.FeatJob	 .09219937	 .02384408	
8.FeatJob	 .10884566	 .03969683	
9.FeatJob	 .10472027	 .02308957	
10.FeatJob	 .11532891	 .03959078	
11.FeatJob	 .18336206	 .03941566	
1b.FeatLang	         0	         0	
2.FeatLang	-.04960993	 .01553152	
3.FeatLang	-.12166238	 .01612921	
4.FeatLang	-.14865597	 .01590105	
1.FeatCountry	  .0494098	 .02451971	
2.FeatCountry	 .00914039	 .02435538	
3.FeatCountry	 .00535809	 .02557496	
4.FeatCountry	 .02964584	 .02602344	
5.FeatCountry	 .05087436	 .02553409	
6b.FeatCountry	         0	         0	
7.FeatCountry	-.01420819	 .02846737	
8.FeatCountry	-.04299335	   .027101	
9.FeatCountry	-.06406697	 .02706406	
10.FeatCountry	-.11094975	 .02820408	
1b.FeatReason	         0	         0	
2.FeatReason	-.04186215	 .01357071	
3.FeatReason	 .03381898	 .02279808	
1b.FeatExp	         0	         0	
2.FeatExp	 .05621552	  .0158978	
3.FeatExp	 .09109123	 .01678317	
4.FeatExp	 .10066608	 .01591601	
1.FeatPlans	 .12851828	 .01619606	
2.FeatPlans	 .03643493	 .01626283	
3b.FeatPlans	         0	         0	
4.FeatPlans	-.14752799	 .01639068	
1b.FeatTrips	         0	         0	
2.FeatTrips	  .0644174	 .01829815	
3.FeatTrips	 .06300557	 .01819407	
4.FeatTrips	 .07749659	 .01785009	
5.FeatTrips	-.11054027	 .01793192	
