	y1	r1	
1b.FeatGender	         0	         0	
2.FeatGender	-.03888275	 .01866813	
1b.FeatEd	         0	         0	
2.FeatEd	 .04435406	 .03330204	
3.FeatEd	 .05038081	 .03498557	
4.FeatEd	 .14144149	 .03380704	
5.FeatEd	  .1475081	 .03898654	
6.FeatEd	 .18156334	 .03835503	
7.FeatEd	 .14271473	 .03687459	
1b.FeatJob	         0	         0	
2.FeatJob	 .01452954	 .03877756	
3.FeatJob	 .07222885	 .03908965	
4.FeatJob	  .0585924	  .0396714	
5.FeatJob	 .07537407	 .07440048	
6.FeatJob	 .11040862	 .03910467	
7.FeatJob	 .09775287	 .03886082	
8.FeatJob	 .17930457	 .07036301	
9.FeatJob	 .15177576	 .03824835	
10.FeatJob	  .1678734	 .06820896	
11.FeatJob	 .19673421	 .06929936	
1b.FeatLang	         0	         0	
2.FeatLang	-.02227448	 .02538717	
3.FeatLang	-.10039471	 .02518422	
4.FeatLang	-.12826129	 .02579682	
1.FeatCountry	 .04552628	 .03989309	
2.FeatCountry	-.03402053	 .03930622	
3.FeatCountry	-.03932205	 .04130404	
4.FeatCountry	-.00376592	 .03960677	
5.FeatCountry	 .00168176	 .04079698	
6b.FeatCountry	         0	         0	
7.FeatCountry	-.04825118	 .04762545	
8.FeatCountry	-.11509543	 .04644916	
9.FeatCountry	-.10741535	 .04566301	
10.FeatCountry	-.12424235	 .04669705	
1b.FeatReason	         0	         0	
2.FeatReason	 -.0310979	 .02166157	
3.FeatReason	 .07294444	 .03672826	
1b.FeatExp	         0	         0	
2.FeatExp	  .0089629	 .02601562	
3.FeatExp	  .0796208	 .02575059	
4.FeatExp	 .07237154	  .0259344	
1.FeatPlans	 .12774268	 .02583287	
2.FeatPlans	 .02548647	 .02660374	
3b.FeatPlans	         0	         0	
4.FeatPlans	-.16246083	 .02513457	
1b.FeatTrips	         0	         0	
2.FeatTrips	 .09342412	  .0289305	
3.FeatTrips	 .08688128	 .02935835	
4.FeatTrips	 .10022001	 .02931852	
5.FeatTrips	-.07891477	 .02923262	
